school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;Risco_Evasao
GP;M;19;R;LE3;T;2;4;services;services;course;mother;3;3;1;yes;yes;yes;yes;yes;yes;yes;no;5;3;1;3;5;5;1;6;8;8;1
GP;M;20;U;GT3;T;0;0;services;at_home;course;father;1;4;1;no;no;no;no;yes;yes;no;yes;2;3;3;1;3;4;1;6;7;7;1
MS;M;17;U;GT3;A;0;0;health;services;course;other;1;2;0;no;no;no;yes;no;yes;no;yes;3;3;3;4;1;3;6;10;9;10;0
GP;F;19;R;GT3;A;3;1;health;other;other;mother;1;2;0;no;no;yes;no;no;yes;yes;no;1;2;5;3;1;2;7;14;15;15;0
MS;M;15;R;LE3;A;0;2;health;services;home;mother;1;3;0;yes;no;yes;yes;no;yes;no;no;5;3;5;4;2;2;11;13;12;13;0
MS;F;20;R;LE3;T;3;4;services;teacher;course;mother;2;2;0;no;yes;yes;no;yes;yes;no;no;5;3;2;4;5;1;13;11;12;13;0
MS;M;18;R;LE3;T;3;1;at_home;teacher;reputation;other;2;4;3;yes;yes;no;no;no;yes;no;yes;2;2;2;4;5;1;15;6;6;6;1
MS;F;15;R;LE3;T;0;2;at_home;services;home;father;4;3;0;no;yes;yes;yes;no;yes;yes;no;3;2;1;1;3;1;7;9;10;10;0
MS;M;21;U;GT3;A;1;1;health;at_home;course;other;4;2;0;yes;yes;no;no;no;no;yes;yes;4;5;3;5;2;2;0;15;16;16;0
MS;F;21;R;GT3;A;1;4;teacher;at_home;home;mother;1;1;1;no;yes;no;yes;no;yes;no;no;3;4;1;3;5;3;8;7;9;9;1
MS;F;15;U;GT3;T;3;0;at_home;at_home;reputation;father;3;1;1;yes;no;yes;no;no;yes;no;yes;5;1;1;2;1;2;2;7;8;9;1
MS;M;19;U;LE3;A;0;0;services;services;course;other;1;4;3;no;yes;no;no;yes;yes;no;no;4;1;3;5;3;2;18;2;2;3;1
MS;F;18;R;GT3;T;1;2;other;at_home;reputation;mother;3;2;0;yes;yes;yes;no;yes;yes;yes;yes;3;3;2;1;4;2;10;12;12;13;0
MS;F;18;U;LE3;T;0;3;other;other;other;mother;1;4;0;no;yes;yes;no;yes;yes;yes;no;1;5;3;4;1;2;13;11;11;12;0
MS;M;20;U;GT3;A;0;2;other;teacher;course;other;4;3;0;no;yes;yes;yes;yes;yes;yes;yes;2;3;4;2;2;3;10;12;14;14;0
GP;F;18;U;LE3;T;0;3;teacher;other;course;other;4;1;0;yes;no;yes;no;no;no;no;yes;3;1;4;3;5;1;0;13;13;14;0
GP;F;21;U;LE3;A;4;1;health;at_home;course;other;3;3;0;no;no;yes;no;yes;yes;no;yes;3;2;4;5;1;5;6;11;13;13;0
MS;F;17;R;GT3;T;0;1;services;other;course;mother;1;2;0;yes;no;yes;yes;no;yes;no;yes;1;4;5;5;4;1;3;11;12;12;0
MS;M;19;U;GT3;A;4;4;teacher;at_home;other;other;3;4;0;yes;no;yes;yes;yes;yes;no;yes;5;5;2;2;4;1;5;13;12;13;0
MS;F;18;R;GT3;A;3;3;services;services;course;mother;4;4;0;no;no;no;yes;yes;no;no;yes;2;2;2;1;2;5;3;10;9;10;0
MS;M;20;R;GT3;A;1;4;services;other;home;other;1;4;0;yes;yes;yes;yes;yes;yes;yes;yes;3;4;5;3;1;2;17;9;9;10;0
MS;F;21;U;LE3;T;1;0;health;services;course;mother;1;3;0;no;no;no;yes;no;yes;no;yes;4;5;1;2;3;3;16;11;10;11;0
MS;F;17;R;GT3;T;1;3;other;services;other;mother;3;1;0;no;no;no;yes;no;yes;no;no;3;5;4;4;1;3;2;12;13;14;0
MS;F;16;R;GT3;A;1;2;health;health;course;father;2;3;0;yes;no;no;no;yes;yes;no;yes;2;1;4;3;4;1;11;17;16;17;0
MS;M;16;R;GT3;A;1;0;teacher;at_home;home;other;3;3;0;no;yes;yes;yes;no;yes;yes;yes;3;2;1;5;2;5;14;12;12;12;0
GP;F;17;U;LE3;T;1;0;teacher;teacher;other;other;4;2;0;yes;yes;no;no;yes;yes;no;no;1;5;3;2;2;4;7;7;9;9;1
MS;F;21;R;LE3;T;1;2;teacher;at_home;other;mother;4;2;0;yes;no;no;yes;yes;yes;yes;yes;3;5;3;5;3;2;3;12;12;12;0
GP;M;20;R;GT3;T;3;0;health;teacher;home;mother;4;2;0;no;yes;yes;no;yes;yes;yes;no;3;4;2;5;2;1;3;15;14;15;0
MS;F;17;R;LE3;A;0;3;services;at_home;home;mother;4;1;1;no;yes;yes;no;no;yes;yes;yes;4;1;5;5;2;3;1;7;8;8;1
MS;M;19;U;GT3;T;2;4;services;services;home;father;4;1;0;yes;no;no;no;yes;yes;yes;no;1;3;2;1;2;5;5;8;10;10;0
GP;M;19;R;LE3;T;4;0;at_home;other;home;father;2;2;0;yes;yes;yes;yes;yes;yes;yes;no;1;1;3;5;2;5;5;12;14;14;0
MS;F;16;U;LE3;A;2;3;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;no;yes;3;3;1;4;2;1;11;12;13;13;0
GP;M;18;U;LE3;T;2;1;services;health;other;other;3;1;1;no;yes;yes;yes;no;yes;no;no;4;2;2;4;4;4;5;6;7;7;1
MS;F;20;U;LE3;T;0;3;at_home;teacher;other;other;3;4;0;no;no;yes;yes;yes;yes;yes;yes;3;2;4;3;1;3;5;11;11;11;0
MS;M;16;U;GT3;T;0;4;services;teacher;course;father;4;1;0;no;no;no;no;no;yes;yes;yes;3;5;4;5;5;1;0;16;15;16;0
GP;M;18;U;GT3;A;0;3;teacher;teacher;course;father;3;1;3;yes;no;yes;yes;yes;yes;yes;yes;2;2;1;5;2;4;18;4;3;4;1
MS;F;18;U;GT3;A;1;2;other;services;reputation;mother;4;1;0;no;yes;yes;no;no;yes;no;yes;2;5;3;2;5;5;4;10;10;11;0
GP;M;19;R;LE3;A;3;4;teacher;teacher;course;other;2;2;0;yes;no;yes;no;yes;yes;no;no;4;1;4;1;5;2;7;7;9;9;1
MS;M;21;U;GT3;A;1;1;health;other;course;mother;2;4;0;yes;yes;no;yes;yes;yes;yes;yes;5;2;4;3;4;3;5;14;13;14;0
GP;M;15;R;GT3;A;3;2;services;services;home;father;1;1;0;no;yes;no;yes;no;yes;no;no;2;1;5;5;2;3;3;12;12;13;0
GP;M;21;R;GT3;A;3;3;services;at_home;home;other;2;2;0;yes;yes;yes;yes;no;no;no;no;5;1;2;2;5;4;4;11;13;13;0
MS;M;15;U;LE3;A;2;4;health;teacher;course;other;2;3;0;no;no;yes;no;yes;yes;yes;yes;1;2;3;1;2;1;4;13;13;14;0
MS;F;17;R;LE3;T;2;1;health;teacher;reputation;father;1;3;2;yes;no;no;yes;no;yes;yes;yes;2;1;2;3;3;5;12;4;4;4;1
GP;M;19;R;LE3;T;3;2;other;at_home;home;mother;3;1;2;no;no;yes;no;yes;yes;no;yes;2;2;3;3;3;4;13;4;4;5;1
MS;F;18;R;GT3;A;3;1;services;teacher;course;mother;4;3;0;yes;no;yes;yes;yes;no;no;yes;4;2;4;5;3;2;10;10;11;11;0
MS;M;20;R;GT3;T;1;3;services;at_home;course;other;4;4;0;yes;yes;no;no;yes;yes;no;no;5;2;5;3;5;2;12;10;11;11;0
MS;F;15;U;GT3;T;1;1;other;services;other;father;3;3;0;no;no;yes;yes;no;yes;yes;yes;2;3;2;2;3;2;1;14;14;15;0
GP;F;21;R;LE3;A;2;0;at_home;other;reputation;other;1;3;3;no;yes;yes;yes;yes;yes;yes;no;2;1;4;3;4;4;23;0;2;2;1
GP;M;18;U;LE3;T;0;2;other;at_home;other;father;3;4;3;yes;no;no;no;no;yes;yes;yes;4;4;3;4;4;5;7;1;0;1;1
GP;M;15;R;GT3;T;3;1;teacher;health;reputation;mother;2;1;0;yes;no;no;yes;yes;yes;no;yes;4;2;2;2;5;3;2;13;15;15;0
GP;M;15;R;LE3;T;1;3;services;at_home;home;father;1;1;1;no;no;yes;yes;no;yes;no;yes;5;1;2;1;2;1;0;9;9;10;0
GP;F;15;U;LE3;T;2;3;health;teacher;reputation;mother;1;4;0;yes;yes;no;yes;no;yes;yes;yes;1;5;4;1;1;3;14;13;13;14;0
GP;M;20;R;LE3;T;1;1;teacher;services;course;father;1;4;0;no;yes;yes;yes;yes;yes;no;no;1;2;2;5;2;5;9;11;11;11;0
GP;F;19;R;LE3;A;3;3;services;services;course;other;4;4;0;yes;yes;yes;yes;no;yes;yes;no;3;2;5;5;2;3;18;10;9;10;0
GP;F;20;R;GT3;A;3;4;other;at_home;reputation;mother;3;3;0;no;yes;yes;yes;yes;yes;no;yes;2;4;5;4;2;4;16;10;11;12;0
GP;F;16;U;LE3;A;4;4;teacher;other;reputation;other;1;4;0;yes;yes;no;yes;yes;yes;yes;no;5;3;4;1;2;2;9;8;9;10;0
MS;M;18;R;LE3;T;0;4;services;health;reputation;other;1;2;0;no;no;no;no;yes;yes;no;no;2;3;3;1;1;5;21;11;11;11;0
GP;M;19;U;LE3;A;4;0;at_home;services;other;mother;1;3;0;no;yes;yes;no;yes;yes;no;yes;5;2;4;1;3;5;16;7;9;9;1
MS;F;19;R;LE3;T;2;1;at_home;teacher;reputation;mother;3;1;2;yes;yes;yes;yes;yes;yes;yes;yes;5;1;5;1;2;3;1;6;6;7;1
MS;F;19;U;GT3;T;1;0;health;teacher;home;other;4;1;0;no;yes;no;yes;no;yes;yes;no;5;5;1;3;4;4;7;12;12;13;0
MS;M;21;U;GT3;T;2;3;services;other;other;other;2;1;0;yes;yes;no;yes;yes;no;yes;no;2;5;1;2;5;3;10;13;13;13;0
GP;F;19;R;LE3;T;3;0;at_home;services;other;other;4;3;0;no;no;no;no;no;yes;yes;no;4;1;2;2;5;3;13;9;11;11;0
GP;M;20;R;LE3;A;4;3;other;at_home;reputation;other;1;2;0;no;yes;yes;no;no;yes;yes;no;2;2;2;4;4;5;0;13;13;14;0
GP;F;19;U;LE3;A;4;3;services;teacher;home;mother;4;4;0;no;no;no;yes;yes;no;no;yes;5;5;1;3;2;3;3;13;13;13;0
GP;M;17;U;LE3;T;4;2;other;other;other;mother;4;4;0;yes;no;no;no;no;yes;yes;yes;3;3;5;1;1;2;0;11;13;13;0
MS;F;18;R;LE3;A;2;4;other;services;course;other;2;1;0;no;no;yes;yes;yes;yes;yes;no;1;1;2;1;3;3;11;10;10;11;0
GP;M;19;U;LE3;T;3;3;at_home;services;other;father;3;1;0;yes;yes;yes;yes;no;yes;yes;yes;5;4;4;5;5;2;12;12;14;14;0
GP;F;18;R;GT3;A;1;2;services;services;reputation;father;3;3;0;no;no;yes;yes;no;yes;yes;no;3;2;4;5;3;5;8;11;13;13;0
GP;M;17;R;LE3;A;1;4;teacher;services;home;mother;4;2;0;yes;yes;no;yes;no;yes;yes;no;4;1;5;4;1;4;2;9;11;11;0
GP;M;17;R;GT3;T;2;3;at_home;services;reputation;other;4;4;0;yes;yes;yes;no;yes;yes;no;yes;5;5;2;1;5;2;7;14;13;14;0
GP;F;18;R;GT3;A;4;3;at_home;teacher;course;other;3;3;0;yes;yes;yes;no;no;yes;yes;no;3;2;4;4;3;4;0;14;15;15;0
MS;F;15;U;LE3;T;0;0;services;other;course;mother;3;4;0;no;yes;yes;yes;yes;yes;yes;no;5;3;2;3;1;4;0;13;12;13;0
GP;M;16;R;GT3;A;2;0;services;services;course;father;2;1;1;yes;yes;yes;no;no;yes;yes;yes;2;2;2;2;3;2;5;9;10;10;0
MS;F;21;U;GT3;T;2;4;other;health;reputation;father;1;4;0;no;no;no;no;no;yes;no;yes;3;2;4;1;2;5;13;7;8;8;1
GP;M;15;R;GT3;T;3;3;services;health;other;father;4;2;0;yes;no;yes;yes;no;yes;no;no;2;3;1;3;1;1;5;11;10;11;0
MS;F;15;U;GT3;A;1;1;other;other;reputation;mother;3;2;0;yes;yes;no;no;no;yes;yes;no;2;3;4;1;3;4;3;15;14;15;0
GP;M;20;R;GT3;A;2;0;at_home;at_home;home;father;4;1;0;yes;no;no;yes;yes;yes;yes;yes;3;2;5;5;2;4;10;10;10;11;0
GP;M;21;U;GT3;T;2;4;health;at_home;other;mother;4;2;0;yes;yes;no;yes;yes;yes;no;no;1;3;3;4;2;5;9;11;11;12;0
MS;M;21;U;LE3;A;4;3;teacher;at_home;course;mother;3;2;1;no;no;yes;yes;no;yes;no;no;3;1;4;5;1;5;0;8;9;9;1
MS;M;15;R;GT3;A;4;3;at_home;health;reputation;other;2;3;1;yes;no;no;yes;no;yes;no;yes;1;3;2;2;4;3;14;8;9;10;0
MS;M;19;R;GT3;T;0;1;services;at_home;course;father;4;4;3;yes;no;yes;no;yes;yes;yes;yes;5;3;2;5;5;5;4;4;4;5;1
GP;M;20;R;GT3;T;3;4;teacher;teacher;course;mother;2;1;0;no;no;yes;yes;yes;yes;yes;yes;5;2;4;1;1;4;6;14;13;14;0
MS;F;20;R;LE3;A;0;3;health;services;home;father;3;1;0;yes;no;yes;no;yes;yes;no;yes;3;1;3;5;2;2;2;11;11;11;0
GP;F;17;U;GT3;T;4;0;health;health;other;father;1;1;0;yes;yes;no;yes;yes;no;yes;yes;5;4;4;1;2;1;3;13;13;13;0
GP;F;21;R;LE3;T;1;1;other;other;home;other;1;1;0;yes;yes;yes;yes;no;yes;no;yes;4;4;3;2;1;3;4;15;15;16;0
MS;M;15;U;GT3;T;4;4;teacher;other;home;father;4;1;0;yes;no;yes;no;no;yes;no;no;2;5;3;5;4;2;24;12;12;13;0
MS;M;17;U;LE3;A;3;1;other;services;home;other;3;2;0;no;yes;yes;yes;yes;yes;no;no;2;3;5;4;5;1;2;11;12;13;0
GP;M;18;R;LE3;A;4;0;at_home;health;course;mother;2;3;2;no;no;no;no;yes;no;yes;yes;1;3;2;4;3;1;14;0;1;2;1
GP;M;16;U;GT3;T;3;4;teacher;at_home;home;father;4;1;0;yes;yes;no;no;yes;yes;no;yes;5;1;2;4;1;1;9;12;12;12;0
MS;F;20;U;GT3;A;3;1;at_home;at_home;home;mother;3;3;0;no;no;no;yes;yes;yes;no;no;1;4;3;5;5;2;1;15;16;17;0
MS;F;18;U;LE3;T;3;2;other;teacher;other;father;3;3;0;no;no;yes;yes;yes;yes;yes;no;2;5;2;5;5;3;8;13;15;15;0
MS;M;18;U;GT3;A;3;0;teacher;teacher;other;mother;2;2;0;yes;no;no;yes;yes;yes;no;no;2;1;1;5;2;3;46;10;9;10;0
